price,available,min_fiat,max_fiat,orders,completion,positive,merchant_age_days,pro,nick,proven
129.4,34.43,1000.0,270000.0,492,99.8,100.0,0.0,False,CoinNest_KE,True
129.43,100.0,3000.0,200000.0,11,84.7,100.0,0.0,False,Aarka11,False
129.45,209.65,3000.0,200000.0,7,87.5,98.921832,0.0,False,MATKETH,False
129.45,105.03,13500.0,13654.0,1,100.0,99.022801,0.0,False,twichy joe,False
129.48,11.19,1000.0,200000.0,50,98.1,98.538961,0.0,False,Fastest_trader254,True
129.48,161.97,6500.0,200000.0,22,100.0,100.0,0.0,False,BERLIINE,True
129.49,939.11,1299.0,270000.0,413,100.0,100.0,0.0,False,HUNJAR,True
129.5,281.55,1000.0,115142.0,71,100.0,100.0,0.0,False,User-c91d8,True
129.5,5611.73,30000.0,400000.0,458,99.2,99.726375,0.0,False,GlobalBlockTraders,True
129.5,302.12,35000.0,500000.0,1337,98.4,99.32885900000001,0.0,False,JustCall_ShalliPluto,True
129.5,7580.1,10000.0,270000.0,128,97.0,89.47368399999999,0.0,False,IPO_SIKU,True
129.51,2951.52,50000.0,270000.0,305,100.0,100.0,0.0,False,D_BU,True
129.53,1047.94,71000.0,999999.0,1863,96.89999999999999,99.80627600000001,0.0,False,MARY_QUEEN,True
129.53,64.92,3000.0,60000.0,8487,99.4,99.95064500000001,0.0,False,Cashmeer,True
129.54,609.92,10000.0,600000.0,1853,98.7,99.976381,0.0,False,Ｋｉｒｂｙ１００,True
129.55,441.65,10000.0,59000.0,6833,100.0,99.960505,0.0,False,Robacoin,True
129.56,2738.85,50000.0,2000000.0,2841,99.9,99.411764,0.0,False,Trading_Titan01,True
129.57,5430.57,70000.0,999999.0,2596,99.8,99.80990800000001,0.0,False,Rai_Rae,True
129.58,667.84,1000.0,20000.0,10347,99.9,99.931308,0.0,False,MREY10,True
129.61,12.39,1000.0,200000.0,33,100.0,98.01444000000001,0.0,False,Al-Capone9,True
129.63,4443.12,8000.0,2733000.0,207,98.6,99.06542,0.0,False,PILOT_PLO_CRYPTODON,True
129.64,2413.08,10000.0,500000.0,3508,100.0,99.92195099999999,0.0,False,Ariwa_Capital,True
129.64,474.7,1000.0,55895.0,309,99.1,99.20212699999999,0.0,False,Tradeforc,True
129.65,842.05,1000.0,50000.0,555,99.3,98.63013600000001,0.0,False,Igiha,True
129.67,160.0,11000.0,270000.0,61,86.0,99.115044,0.0,False,Swishkelpfish001,False
129.67,7599.79,100000.0,900000.0,953,99.8,100.0,0.0,False,Maxiemus ,True
129.67,2464.98,10000.0,500000.0,6051,100.0,99.596959,0.0,False,FOMO_Depot,True
129.68,50.4,1000.0,6538.0,149,96.2,100.0,0.0,False,PrimeExchange-,True
129.68,9802.08,50000.0,1000000.0,2073,99.6,99.818232,0.0,False,G e n e r a l - D,True
129.69,3017.91,10000.0,500000.0,1964,99.9,99.823848,0.0,False,TopMan_,True
129.7,3061.02,100000.0,2200000.0,15,100.0,99.86631,0.0,False,LuseinC,False
129.7,5049.34,150000.0,999999.0,1528,99.5,99.165935,0.0,False,TokenTiger-,True
129.7,69.34,1000.0,9000.0,41,91.2,100.0,0.0,False,MicroSwift_Express,True
129.7,671.32,5000.0,2733000.0,874,99.7,100.0,0.0,False,Skitor_cryptos,True
129.7,593.25,1001.0,250000.0,1531,99.0,99.252884,0.0,False,Ai_Trade_Fast,True
129.7,10599.59,20000.0,999999.0,7022,99.9,99.843319,0.0,False,SERGIO  ALVARO,True
129.71,805.68,3000.0,200000.0,218,100.0,100.0,0.0,False,MOM_GLOBAL,True
129.71,2888.83,10000.0,999999.0,5831,99.9,99.858004,0.0,False,CoinsMogul,True
