price,available,min_fiat,max_fiat,orders,completion,positive,merchant_age_days,pro,nick,proven
140.1,50000.0,200000.0,270000.0,5,83.39999999999999,0.0,0.0,False,PTpeteson,False
134.8,4877.44,50000.0,200000.0,7,87.5,100.0,0.0,False,kardashia,False
134.7,5274.0,50000.0,200000.0,4,100.0,99.0099,0.0,False,AlgoNest,False
134.6,1000.0,42900.0,43031.0,0,0.0,100.0,0.0,False,tiero,False
130.51,3000.0,10000.0,70000.0,1,50.0,100.0,0.0,False,Duncan,False
130.3,880.59,10000.0,100000.0,5,55.60000000000001,0.0,0.0,False,User-914e3,False
130.23,26000.0,12300.0,26000.0,2,100.0,100.0,0.0,False,fougoumba1,False
130.15,10000.0,12000.0,25000.0,20,80.0,0.0,0.0,False,KEBAYA_MERCHANT,False
130.0,100.0,3000.0,200000.0,0,0.0,0.0,0.0,False,Axchange01,False
129.55,55.82,1000.0,10000.0,19,100.0,100.0,0.0,False,ChimoAfrica,False
129.54,77.91,1000.0,10000.0,137,97.89999999999999,100.0,0.0,False,_ManuPay_,True
129.53,5000.0,100000.0,140000.0,72,100.0,100.0,0.0,False,sammy-Chacha,True
129.53,1420.17,1000.0,270000.0,42,97.7,99.624342,0.0,False,CALEBRO,True
129.52,36248.19,1000.0,90000.0,224,99.6,100.0,0.0,False,Ddestiny1,True
129.51,25.0,3000.0,200000.0,6,75.0,100.0,0.0,False,kasurah,False
129.51,2464.72,50000.0,270000.0,5,100.0,100.0,0.0,False,lekii,False
129.51,8000.0,1000.0,8000.0,4,80.0,100.0,0.0,False,bonmalesh,False
129.5,50.0,3000.0,200000.0,0,0.0,100.0,0.0,False,BreezyCf,False
129.36,4803.32,10000.0,1000000.0,1247,99.9,100.0,0.0,False,Maxiemus ,True
129.33,1506.88,90000.0,2733000.0,120,99.2,100.0,0.0,False,Thamueri,True
129.33,4000.0,40000.0,2700000.0,2644,99.9,99.42374099999999,0.0,False,Trading_Titan01,True
129.32,2525.74,40000.0,999999.0,1620,96.7,99.807655,0.0,False,MARY_QUEEN,True
129.3,151.52,1000.0,20000.0,0,0.0,100.0,0.0,False,hamdexyu,False
129.3,503.66,25000.0,2733000.0,127,88.9,99.091734,0.0,False,metalink-investment,False
129.3,52073.24,50000.0,1000000.0,1423,99.4,99.16848999999999,0.0,False,TokenTiger-,True
129.26,4918.47,3000.0,200000.0,52,92.9,100.0,0.0,False,Derules,True
129.26,6040.0,39000.0,2733000.0,3167,99.5,99.802517,0.0,False,PLO _KE _CRYPTOBOSS,True
129.25,500.0,50000.0,270000.0,16,80.0,100.0,0.0,False,P2P-cebb0ckn,False
129.25,24012.11,20000.0,500000.0,7959,99.7,99.695088,0.0,False,SCHERTENLEIB,True
129.25,1771.28,2000.0,250000.0,146,99.4,100.0,0.0,False,Mkrypt0,True
129.25,1230.22,1000.0,40000.0,343,100.0,100.0,0.0,False,D_BagBuilder,True
129.23,37.0,1000.0,200000.0,252,100.0,100.0,0.0,False,MOM_GLOBAL,True
129.23,14677.57,20000.0,250000.0,5894,100.0,99.865501,0.0,False,CoinsMogul,True
129.21,6652.13,5000.0,270000.0,46,97.89999999999999,100.0,0.0,False,Mbithi_,True
129.2,13409.1,1000.0,200000.0,93,96.89999999999999,100.0,0.0,False,muss_cryptos,True
129.2,5180.55,20000.0,250000.0,6621,100.0,99.960712,0.0,False,Robacoin,True
129.17,10812.56,15000.0,250000.0,13374,100.0,99.865576,0.0,False,DESCENDANTSai,True
129.16,916.22,1000.0,200000.0,106,92.2,99.074074,0.0,False,Captainsam_Marchant,True
129.15,3369.2,1000.0,90000.0,45,97.89999999999999,100.0,0.0,False,ZuruDigitalHub,True
129.13,306.95,1000.0,2000.0,562,99.9,100.0,0.0,False,CoinNest_KE,True
129.11,44779.84,10000.0,500000.0,7722,100.0,99.911993,0.0,False,Trixie_Vault,True
129.1,10000.0,1000.0,19000.0,2,40.0,0.0,0.0,False,Diana_cryptos,False
129.1,1715.72,221000.0,221500.0,82,91.2,100.0,0.0,False,Osopays,True
129.1,116.19,1500.0,15000.0,44,100.0,100.0,0.0,False,GLOBAL_01,True
129.1,53309.89,100000.0,700000.0,626,98.6,99.554468,0.0,False,Ａｌｗａｙｓ_ＭＥ,True
129.1,8000.0,20000.0,2733000.0,427,98.0,98.4343,0.0,False,sunmburu-OTC,True
129.1,8000.0,20000.0,1500000.0,883,99.7,99.687174,0.0,False,coins_mistress,True
129.09,22557.77,5000.0,2733000.0,5023,96.1,97.20290200000001,0.0,False,EVAMIGOLIMITED,True
129.08,11.0,1000.0,1500.0,2,100.0,100.0,0.0,False,Olkarsiscrypto,False
129.08,197095.71,50000.0,1000000.0,885,96.89999999999999,99.770904,0.0,False,Rehoboth-__,True
129.08,3497.0,9999.0,2733000.0,1047,99.8,99.459459,0.0,False,PILOT_PLO_CRYPTODON,True
129.05,764.06,5000.0,2733000.0,1490,99.2,99.92810899999999,0.0,False,Omarey25Flow,True
129.05,5186.85,10000.0,250000.0,6621,100.0,99.960712,0.0,False,Robacoin,True
129.04,76.08,3000.0,10000.0,49,94.3,100.0,0.0,False,User-12770,True
129.04,7507.84,15000.0,2733000.0,1620,96.7,99.807655,0.0,False,MARY_QUEEN,True
129.03,200.0,1010.0,200000.0,162,99.4,99.115044,0.0,False,Deeisa,True
129.02,4051.02,1000.0,70000.0,151,98.1,100.0,0.0,False,PrimeExchange-,True
129.02,1494.69,2500.0,2733000.0,2212,98.9,99.02319899999999,0.0,False,TrustableKE,True
129.01,3300.0,15000.0,250000.0,56,87.5,99.130434,0.0,False,Swishkelpfish001,False
129.01,176775.43,40000.0,1999999.0,1412,99.2,98.550912,0.0,False,HollyBoyCrypto,True
129.0,8000.0,3000.0,270000.0,7,70.0,100.0,0.0,False,S_Kirwa,False
129.0,240.0,5000.0,30500.0,1,100.0,100.0,0.0,False,jumake,False
129.0,1000.0,1000.0,150000.0,15,88.3,100.0,0.0,False,Aarka11,False
129.0,30000.0,3000.0,38000.0,71,100.0,100.0,0.0,False,koko_telo,True
129.0,17959.19,10000.0,250000.0,5894,100.0,99.86554600000001,0.0,False,CoinsMogul,True
129.0,3139.58,4000.0,800000.0,2302,97.0,99.163646,0.0,False,MuatheMiss,True
129.0,7379.86,30000.0,2700000.0,2644,99.9,99.42374099999999,0.0,False,Trading_Titan01,True
128.99,900.0,50000.0,120000.0,4,100.0,100.0,0.0,False,P2P-de009aby,False
128.96,119062.01,30000.0,1500000.0,1451,99.9,99.856453,0.0,False,Mars,True
128.96,4720.01,3000.0,60000.0,7947,99.3,99.950949,0.0,False,Cashmeer,True
128.95,7286.66,10000.0,1000000.0,1699,99.9,99.824442,0.0,False,TopMan_,True
128.93,19059.97,2000.0,300000.0,3104,98.4,99.59894700000001,0.0,False,Nova_Alpha_Queen,True
128.91,2507.85,2000.0,1500000.0,5097,99.7,99.87921,0.0,False,Jbless2026,True
128.9,31.0,1300.0,7000.0,7,100.0,100.0,0.0,False,Femucs ,False
128.9,2790.23,4000.0,2733000.0,3258,100.0,99.696509,0.0,False,MoH_coins,True
128.87,2270.17,2000.0,2733000.0,3191,99.3,99.860724,0.0,False,UmuRamas,True
128.86,20393.5,5000.0,270000.0,5,83.39999999999999,99.076923,0.0,False,Godzilla_83,False
128.86,30.79,1000.0,15000.0,3,60.0,100.0,0.0,False,Sp2p_trades,False
128.86,5000.0,3000.0,200000.0,6,100.0,100.0,0.0,False,Nickley,False
128.85,48498.87,1000.0,15000.0,38,90.5,100.0,0.0,False,Alekii254,True
128.85,6000.0,30000.0,1200000.0,976,97.8,99.182561,0.0,False,Gray 69,True
128.85,7265.23,1500.0,150000.0,3206,98.9,99.533756,0.0,False,Lenny50,True
128.84,43729.69,5000.0,250000.0,17,77.3,100.0,0.0,False,BeardCoinKing,False
128.84,4600.96,3000.0,100000.0,6643,99.5,99.94619300000001,0.0,False,___MashTrades,True
128.82,190203.74,5000.0,250000.0,683,99.5,100.0,0.0,False,Turbo_Flow,True
128.8,12190.19,1500.0,200000.0,19,100.0,100.0,0.0,False,MellowZiege,False
128.8,3183.49,3000.0,1000000.0,2330,99.6,99.861086,0.0,False,RYLAN_G,True
128.79,93.0,1000.0,12000.0,56,100.0,100.0,0.0,False,Denlinin,True
128.79,833.17,1000.0,1500000.0,5097,99.7,99.87921,0.0,False,Jbless2026,True
128.78,2101.62,1000.0,192000.0,5065,98.4,99.944536,0.0,False,ＳａｎｔａＬｕｃｉａ ,True
128.77,2188.2,2100.0,20000.0,9463,99.9,99.931636,0.0,False,MREY10,True
128.76,173.89,1000.0,2733000.0,4087,99.9,99.704273,0.0,False,Mel  C  ,True
128.75,9542.95,2000.0,100000.0,2457,96.7,98.886357,0.0,False,laurelia,True
128.73,140.89,1000.0,5000.0,6,85.8,0.0,0.0,False,P2P-0de412kg,False
128.73,762.1,1500.0,790000.0,2584,99.7,99.35912,0.0,False,Jaden,True
128.72,40.0,3000.0,13000.0,8,100.0,100.0,0.0,False,Oroo2086,False
128.7,18852.46,1000.0,200000.0,29,100.0,100.0,0.0,False,DOLLARBALESKE,True
128.7,164440.33,3000.0,250000.0,2649,98.9,99.64768000000001,0.0,False,ＡｊｕｏｇａＩＶ,True
128.7,103552.22,1000.0,500000.0,9620,100.0,100.0,0.0,False,Milan_Merchant,True
128.68,188197.51,1000.0,53000.0,711,100.0,100.0,0.0,False,GIRL-CHILD,True
