price,available,min_fiat,max_fiat,orders,completion,positive,merchant_age_days,pro,nick,proven
16.76,922.12,3500.0,2200000.0,460,70.8,96.782178,0.0,False,The Combined Crypto Solutions ,False
16.77,55498.21,20000.0,9999999.0,350,99.8,100.0,0.0,False,Paruk_Trader,True
16.77,5202.61,3500.0,100000.0,278,100.0,99.814126,0.0,False,Chimhoga,True
16.78,112542.54,9000.0,400000.0,444,100.0,99.141221,0.0,False,P2Pprince,True
16.82,2190.26,900.0,50000.0,60,100.0,100.0,0.0,False,TRADE WITH JOE,True
16.83,2421.02,1000.0,30000.0,1331,99.6,99.783236,0.0,False,LNYN,True
16.84,1216.0,900.0,12000.0,168,100.0,100.0,0.0,False,Pinnacle Crypto,True
16.85,6500.0,1000.0,1000000.0,113,98.3,89.88764,0.0,False,Jodelelyon17,True
16.85,8546.42,1000.0,22000000.0,249,100.0,100.0,0.0,False,TradeRite,True
16.85,1160.05,1200.0,10000.0,140,99.3,100.0,0.0,False,P2P-8ca97cwd,True
16.93,10.0,150.0,1000000.0,126,100.0,100.0,0.0,False,KWIK-PAY,True
16.93,29035.24,10000.0,500000.0,725,100.0,99.5685,0.0,False,CRYPTO_BOSS_786,True
16.94,125802.27,15000.0,1000000.0,190,100.0,99.260355,0.0,False,CrazyWhiteBoy,True
17.0,8596.65,150.0,125200.0,1440,99.2,99.64285699999999,0.0,False,Bi-Pay,True
17.0,1304.87,2000.0,100000.0,732,99.5,98.853211,0.0,False,GOLDEN_GATE,True
17.1,12481.11,1000.0,22000000.0,97,100.0,98.67197800000001,0.0,False,Mellow_Trader,True
17.1,3000.0,2000.0,30000.0,278,100.0,99.814126,0.0,False,Chimhoga,True
17.19,662.07,1000.0,22000000.0,27,100.0,98.045602,0.0,False,NOBLE_QUEEN,True
17.2,116.3,150.0,1000000.0,24,100.0,93.92405000000001,0.0,False,Cryptolord77_,True
17.2,112902.27,10000.0,1000000.0,190,100.0,99.260355,0.0,False,CrazyWhiteBoy,True
17.25,426.13,150.0,350000.0,64,100.0,100.0,0.0,False,Ayaan_Ch28,True
17.25,100000.0,5000.0,1000000.0,587,100.0,100.0,0.0,False,TradeMaster_Pro,True
17.27,20032.0,10000.0,22000000.0,125,92.0,96.76549800000001,0.0,False,jesussaviour2,True
17.3,1349.6,1000.0,15000.0,268,98.9,95.243902,0.0,False,Thabile-NFT,True
17.33,1388.02,4800.0,20000.0,34,100.0,95.553691,0.0,False,Pro-Trader,True
17.34,3684.03,1000.0,50000.0,441,94.89999999999999,97.51861,0.0,False,YOMIE-NFT ,True
17.35,120076.42,2000.0,250000.0,190,100.0,99.260355,0.0,False,CrazyWhiteBoy,True
17.35,2301.1,250.0,22000000.0,926,92.5,98.234495,0.0,False,786-ZDB-EXCHANGE,True
17.36,154.55,280.0,2682.0,175,96.2,97.36842100000001,0.0,False,KvngRex,True
17.4,2650.9,1000.0,75000.0,22,88.0,96.83441499999999,0.0,False,Ntombomzi,False
17.4,1416.29,1000.0,75000.0,555,96.89999999999999,97.16312,0.0,False,Mpofana,True
17.43,294.26,1000.0,1000000.0,239,99.2,100.0,0.0,False,Phoenix_4-13,True
17.43,129316.23,1000.0,9999.0,444,100.0,99.141221,0.0,False,P2Pprince,True
17.45,155.41,150.0,350000.0,97,100.0,100.0,0.0,False,Titu_Crypto_002,True
17.5,521.83,1000.0,10000.0,1,100.0,100.0,0.0,False,VELCORA,False
17.5,1553.73,500.0,22000000.0,732,99.5,98.855835,0.0,False,GOLDEN_GATE,True
17.5,99.7,150.0,1000.0,33,91.7,100.0,0.0,False,MoneySpread,True
17.55,669.78,400.0,50000.0,218,99.6,99.376947,0.0,False,WarriorNun,True
17.59,12592.06,1000.0,22000000.0,97,100.0,98.67197800000001,0.0,False,Mellow_Trader,True
17.6,913.3,1000.0,1000000.0,89,100.0,100.0,0.0,False,TMT-trades,True
17.68,64113.64,450.0,3000.0,350,99.8,100.0,0.0,False,Paruk_Trader,True
17.69,2037.34,1000.0,22000000.0,700,99.8,96.363636,0.0,False,NOBE_RSA,True
17.7,1419.48,2000.0,200000.0,732,99.5,98.847926,0.0,False,GOLDEN_GATE,True
