ts,fiat,side,ads,proven_ads,sticker,sticker_orders,sticker_completion,proven,trust_spread_pct,realized_1000,realized_5000,realized_20000,realized_25000,realized_100000
2026-08-11T01:12:18+00:00,ZAR,BUY,54,48,16.93,124,100.0,16.93,0.0,17.153685,17.026595,17.019234,,
2026-08-11T01:12:24+00:00,ZAR,SELL,82,41,18.0,0,0.0,16.62,8.303,16.591673,16.341374,16.440126,,
2026-08-11T01:12:29+00:00,KES,BUY,61,47,129.7,466,95.3,129.7,0.0,,129.7,,129.706,129.717433
2026-08-11T01:12:35+00:00,KES,SELL,100,43,134.6,3,100.0,129.5,3.938,,129.32,,129.33,129.5
2026-08-11T01:23:55+00:00,ZAR,BUY,52,46,16.93,124,100.0,16.93,0.0,17.153685,17.190717,17.019234,,
2026-08-11T01:24:00+00:00,ZAR,SELL,84,43,18.0,0,0.0,16.62,8.303,16.591673,16.341374,16.440126,,
2026-08-11T01:24:05+00:00,KES,BUY,63,49,129.7,466,95.3,129.7,0.0,,129.7,,129.706,129.717433
2026-08-11T01:24:10+00:00,KES,SELL,100,41,134.6,3,100.0,129.33,4.075,,129.32,,129.33,129.33
2026-08-11T03:22:12+00:00,ZAR,BUY,54,48,16.93,124,100.0,16.93,0.0,17.153685,17.026595,17.019234,,
2026-08-11T03:22:16+00:00,ZAR,SELL,89,48,18.0,0,0.0,16.7,7.784,16.591673,16.341374,16.54708,,
2026-08-11T03:22:20+00:00,KES,BUY,68,53,129.68,588,98.2,129.68,0.0,,129.68,,129.687005,129.70645
2026-08-11T03:22:25+00:00,KES,SELL,100,48,134.6,3,100.0,129.5,3.938,,129.35,,129.35,129.5
2026-08-11T04:51:11+00:00,ZAR,BUY,56,49,16.93,124,100.0,16.93,0.0,17.145422,17.026595,17.019234,,
2026-08-11T04:51:16+00:00,ZAR,SELL,92,50,18.0,0,0.0,16.62,8.303,16.591673,16.336891,16.440126,,
2026-08-11T04:51:22+00:00,KES,BUY,96,81,129.67,40,97.6,129.67,0.0,,,,129.688962,129.707921
2026-08-11T04:51:26+00:00,KES,SELL,100,58,134.6,3,100.0,129.51,3.93,,129.41,,129.41,129.51
2026-08-11T05:58:13+00:00,ZAR,BUY,63,56,16.93,124,100.0,16.93,0.0,17.145422,17.026595,17.019234,,
2026-08-11T05:58:17+00:00,ZAR,SELL,100,59,18.0,0,0.0,16.62,8.303,16.591673,16.338672,16.39557,,
2026-08-11T05:58:22+00:00,KES,BUY,100,88,129.68,588,98.2,129.68,0.0,,129.690097,,129.698019,129.699505
2026-08-11T05:58:26+00:00,KES,SELL,100,73,134.6,3,100.0,129.51,3.93,,129.43,,129.43,129.51
2026-08-11T07:20:07+00:00,ZAR,BUY,76,64,16.93,124,100.0,16.93,0.0,17.153685,16.990751,17.011158,,
2026-08-11T07:20:12+00:00,ZAR,SELL,100,64,18.0,0,0.0,16.62,8.303,16.479334,16.328735,16.429759,,
2026-08-11T07:20:17+00:00,KES,BUY,100,89,129.64,152,99.4,129.64,0.0,,129.672048,,129.677599,129.686689
2026-08-11T07:20:21+00:00,KES,SELL,100,76,134.6,3,100.0,129.52,3.922,,129.45,,129.51,129.51
2026-08-11T08:32:07+00:00,ZAR,BUY,78,67,16.93,124,100.0,16.93,0.0,17.145422,16.949322,16.949831,,
2026-08-11T08:32:12+00:00,ZAR,SELL,100,71,18.0,0,0.0,16.65,8.108,16.65,16.65,16.65,,
2026-08-11T08:32:16+00:00,KES,BUY,100,91,129.6,157,99.4,129.6,0.0,,129.6,,129.6,129.6
2026-08-11T08:32:21+00:00,KES,SELL,100,74,134.6,3,100.0,129.48,3.954,,129.46,,129.46,129.48
2026-08-11T09:33:36+00:00,ZAR,BUY,82,70,16.92,449,72.4,16.93,-0.059,17.145422,16.939661,16.939915,,
2026-08-11T09:33:41+00:00,ZAR,SELL,100,69,18.0,0,0.0,16.62,8.303,16.391518,16.529846,16.52246,,
2026-08-11T09:33:46+00:00,KES,BUY,100,93,129.64,4295,92.1,129.64,0.0,,129.64,,129.64,129.645384
2026-08-11T09:33:51+00:00,KES,SELL,100,73,134.6,3,100.0,129.7,3.778,,129.45,,129.649913,129.492784
2026-08-11T10:27:21+00:00,ZAR,BUY,82,70,16.91,347,99.8,16.91,0.0,17.145422,16.939661,16.91,,
2026-08-11T10:27:25+00:00,ZAR,SELL,100,73,18.0,0,0.0,16.62,8.303,16.345189,16.556904,16.600494,,
2026-08-11T10:27:30+00:00,KES,BUY,100,94,129.49,190,100.0,129.49,0.0,,129.54,,129.52,129.49
2026-08-11T10:27:34+00:00,KES,SELL,100,69,134.6,3,100.0,129.7,3.778,,129.46,,129.651919,129.370996
2026-08-11T11:23:48+00:00,ZAR,BUY,87,77,16.88,17,100.0,16.89,-0.059,16.89,16.89,16.89,,
2026-08-11T11:23:53+00:00,ZAR,SELL,100,74,18.0,0,0.0,16.65,8.108,16.65,16.65,16.624576,,
2026-08-11T11:23:58+00:00,KES,BUY,100,94,129.39,190,100.0,129.39,0.0,,129.54,,129.43,129.39
2026-08-11T11:24:03+00:00,KES,SELL,100,75,134.6,3,100.0,129.7,3.778,,129.38298,,129.636458,129.351177
2026-08-11T12:24:38+00:00,ZAR,BUY,87,77,16.88,1272,99.7,16.88,0.0,16.88,16.88,16.88,,
2026-08-11T12:24:43+00:00,ZAR,SELL,100,71,18.0,0,0.0,16.65,8.108,16.65,16.584047,16.492135,,
